"","object","Answer.evidence_condition","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","evidence","competition","conditions_combined"
"1","Answer.DW_strength",0,0,0.888704954288711,12.441869360042,14,0.133514130692788,0.950957956721383,0.815829555913882,"high","control","+ evidence, control"
"2","Answer.DW_strength",0,1,0.877785831345096,20.1890741209372,23,0.12861894590179,0.925021784963809,0.821988040315035,"high","partner","+ evidence, partner"
"3","Answer.DW_strength",0,2,0.875502822658116,14.883547985188,17,0.115135211918459,0.92771522264309,0.815234240058611,"high","opponent","+ eviedence, opponent"
"4","Answer.DW_strength",1,0,0.784900631639628,13.3433107378737,17,0.123723547724501,0.839840095454251,0.728411192255083,"low","control","- evidence, control"
"5","Answer.DW_strength",1,1,0.742855105061783,14.8571021012357,20,0.134653041309208,0.795294625882817,0.681267861471229,"low","partner","- evidence, partner"
"6","Answer.DW_strength",1,2,0.799344246455831,27.1777043794982,34,0.119169490354096,0.835239001173344,0.756989905078637,"low","opponent","- eviedence, opponent"
"7","Answer.expectation_of_winning",0,0,0.530772639391594,7.43081695148232,14,0.163013425446208,0.607354646382367,0.442433522718961,"high","control","+ evidence, control"
"8","Answer.expectation_of_winning",0,1,0.748990184968008,17.2267742542642,23,0.148809360862857,0.80640488631825,0.687565400237451,"high","partner","+ evidence, partner"
"9","Answer.expectation_of_winning",0,2,0.608841742326099,10.3503096195437,17,0.240127998575243,0.717760908818386,0.496799143498074,"high","opponent","+ eviedence, opponent"
"10","Answer.expectation_of_winning",1,0,0.647692135978589,11.010766311636,17,0.173662761365258,0.719039436959955,0.568491664549576,"low","control","- evidence, control"
"11","Answer.expectation_of_winning",1,1,0.624290150744763,12.4858030148953,20,0.154825309837722,0.690140317374942,0.560960012509956,"low","partner","- evidence, partner"
"12","Answer.expectation_of_winning",1,2,0.50852518704459,17.2898563595161,34,0.216165052399082,0.578496707986324,0.441793576612808,"low","opponent","- eviedence, opponent"
"13","Answer.strength_of_average_player",0,0,0.53270599938211,7.45788399134954,14,0.150304993489777,0.606578597623383,0.45613585174072,"high","control","+ evidence, control"
"14","Answer.strength_of_average_player",0,1,0.613334214464804,14.1066869326905,23,0.145505150956365,0.672357745474382,0.553589615548826,"high","partner","+ evidence, partner"
"15","Answer.strength_of_average_player",0,2,0.611299950542893,10.3920991592292,17,0.15956133371569,0.689782749263697,0.534536727232274,"high","opponent","+ eviedence, opponent"
"16","Answer.strength_of_average_player",1,0,0.538628570382786,9.15668569650737,17,0.139310727823895,0.600495501154823,0.479929853599468,"low","control","- evidence, control"
"17","Answer.strength_of_average_player",1,1,0.556675942878633,11.1335188575727,20,0.154820026605265,0.625246777527118,0.488120592035711,"low","partner","- evidence, partner"
"18","Answer.strength_of_average_player",1,2,0.575488243972021,19.5666002950487,34,0.196105599364748,0.634917605602258,0.510053424305622,"low","opponent","- eviedence, opponent"
"19","Answer.role_of_luck_in_game",0,0,0.354443001946472,4.96220202725061,14,0.194741131789673,0.447547675224682,0.258880098666869,"high","control","+ evidence, control"
"20","Answer.role_of_luck_in_game",0,1,0.306356990918351,7.04621079112206,23,0.224584482911562,0.404840758650426,0.218612038822508,"high","partner","+ evidence, partner"
"21","Answer.role_of_luck_in_game",0,2,0.27215390108882,4.62661631850993,17,0.172460928013096,0.352814952226263,0.199855136022965,"high","opponent","+ eviedence, opponent"
"22","Answer.role_of_luck_in_game",1,0,0.332722023582473,5.65627440090204,17,0.252430509960658,0.446415874612813,0.221668665853943,"low","control","- evidence, control"
"23","Answer.role_of_luck_in_game",1,1,0.384703909829702,7.69407819659404,20,0.210078207588966,0.471345036252565,0.297679857259573,"low","partner","- evidence, partner"
"24","Answer.role_of_luck_in_game",1,2,0.36359403136504,12.3621970664114,34,0.195674843402461,0.43088336960558,0.298607427564302,"low","opponent","- eviedence, opponent"
