"","object","Answer.evidence_condition","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","evidence","competition","conditions_combined"
"1","Answer.DW_strength",0,0,0.912393220833888,11.8611118708405,13,0.103332756296241,0.958388249911389,0.848967289286782,"high","control","+ evidence, control"
"2","Answer.DW_strength",0,1,0.884563834470401,15.0375851859968,17,0.11815702800405,0.931956816977024,0.827841327859744,"high","partner","+ evidence, partner"
"3","Answer.DW_strength",0,2,0.834863463918814,10.8532250309446,13,0.275617748952063,0.946229254135312,0.675494822213495,"high","opponent","+ eviedence, opponent"
"4","Answer.DW_strength",1,0,0.797497486931835,15.9499497386367,20,0.0926742770911608,0.835047692171717,0.756700694683324,"low","control","- evidence, control"
"5","Answer.DW_strength",1,1,0.770992361925426,16.1908396004339,21,0.112525196523074,0.815021878383182,0.717984153106087,"low","partner","- evidence, partner"
"6","Answer.DW_strength",1,2,0.818374383023462,13.9123645113988,17,0.110870090579467,0.867148797136459,0.767173640597149,"low","opponent","- eviedence, opponent"
"7","Answer.expectation_of_winning",0,0,0.591492088103163,7.68939714534111,13,0.161680521321782,0.67176221185786,0.4959185400281,"high","control","+ evidence, control"
"8","Answer.expectation_of_winning",0,1,0.779226764776196,13.2468550011953,17,0.14277064619641,0.840213890484414,0.713310355499302,"high","partner","+ evidence, partner"
"9","Answer.expectation_of_winning",0,2,0.512679862867724,6.66483821728041,13,0.308019737747319,0.669196800874854,0.332009221692003,"high","opponent","+ eviedence, opponent"
"10","Answer.expectation_of_winning",1,0,0.659598845250846,13.1919769050169,20,0.175008955697188,0.728973205004674,0.584158441950514,"low","control","- evidence, control"
"11","Answer.expectation_of_winning",1,1,0.637146421900127,13.3800748599027,21,0.159201859902794,0.70561154306768,0.569140799591245,"low","partner","- evidence, partner"
"12","Answer.expectation_of_winning",1,2,0.463657429935587,7.88217630890498,17,0.235435106009323,0.567149400690133,0.354673395476705,"low","opponent","- eviedence, opponent"
"13","Answer.strength_of_average_player",0,0,0.536157919311485,6.97005295104931,13,0.166890407075977,0.615972049091793,0.445754557619273,"high","control","+ evidence, control"
"14","Answer.strength_of_average_player",0,1,0.617996819885311,10.5059459380503,17,0.166177287817323,0.687306123005894,0.534145003212263,"high","partner","+ evidence, partner"
"15","Answer.strength_of_average_player",0,2,0.573741760685193,7.45864288890751,13,0.229622410623943,0.690010688371179,0.453544225098079,"high","opponent","+ eviedence, opponent"
"16","Answer.strength_of_average_player",1,0,0.56553027050569,11.3106054101138,20,0.127942746703623,0.620104098447637,0.509402646832265,"low","control","- evidence, control"
"17","Answer.strength_of_average_player",1,1,0.573704933170251,12.0478035965753,21,0.144864695581099,0.636798034783942,0.518896672418614,"low","partner","- evidence, partner"
"18","Answer.strength_of_average_player",1,2,0.580751541196332,9.87277620033764,17,0.210729414941021,0.676755872649326,0.486841337708668,"low","opponent","- eviedence, opponent"
"19","Answer.role_of_luck_in_game",0,0,0.287987258602891,3.74383436183758,13,0.163382479863752,0.366809748797559,0.20183204778522,"high","control","+ evidence, control"
"20","Answer.role_of_luck_in_game",0,1,0.310019365391401,5.27032921165381,17,0.184786834071277,0.39543401901752,0.222600358811144,"high","partner","+ evidence, partner"
"21","Answer.role_of_luck_in_game",0,2,0.286844409857947,3.72897732815331,13,0.253561842679282,0.427396638925796,0.169031004857346,"high","opponent","+ eviedence, opponent"
"22","Answer.role_of_luck_in_game",1,0,0.289378779407612,5.78757558815224,20,0.218474167691685,0.393105823415651,0.202803097065334,"low","control","- evidence, control"
"23","Answer.role_of_luck_in_game",1,1,0.419581148866478,8.81120412619604,21,0.250329865824476,0.522203762553105,0.319562325023994,"low","partner","- evidence, partner"
"24","Answer.role_of_luck_in_game",1,2,0.342584799053597,5.82394158391116,17,0.22185974735642,0.444080159944476,0.23836583988641,"low","opponent","- eviedence, opponent"
