"","object","Answer.evidence_condition","Answer.competition_condition","c","n","l","sdc","c.cih","c.cil","evidence","competition","conditions_combined"
"1","Answer.DW_strength",0,0,0.912393220833888,11.8611118708405,13,0.103332756296241,0.95796751170992,0.85541465367388,"high","control","+ evidence, control"
"2","Answer.DW_strength",0,1,0.884563834470401,15.0375851859968,17,0.11815702800405,0.933224212666624,0.824966114929995,"high","partner","+ evidence, partner"
"3","Answer.DW_strength",0,2,0.834863463918814,10.8532250309446,13,0.275617748952063,0.94866334443902,0.672288376666768,"high","opponent","+ eviedence, opponent"
"4","Answer.DW_strength",1,0,0.797497486931835,15.9499497386367,20,0.0926742770911608,0.837056338478917,0.754214254348687,"low","control","- evidence, control"
"5","Answer.DW_strength",1,1,0.770992361925426,16.1908396004339,21,0.112525196523074,0.810081498768492,0.723514128212591,"low","partner","- evidence, partner"
"6","Answer.DW_strength",1,2,0.807317482404725,28.2561118841654,35,0.118161509478178,0.843311343922444,0.765813186353391,"low","opponent","- eviedence, opponent"
"7","Answer.expectation_of_winning",0,0,0.591492088103163,7.68939714534111,13,0.161680521321782,0.671906396404784,0.508089663028772,"high","control","+ evidence, control"
"8","Answer.expectation_of_winning",0,1,0.779226764776196,13.2468550011953,17,0.14277064619641,0.845846869388818,0.714911643753495,"high","partner","+ evidence, partner"
"9","Answer.expectation_of_winning",0,2,0.512679862867724,6.66483821728041,13,0.308019737747319,0.666184839682411,0.35292009205911,"high","opponent","+ eviedence, opponent"
"10","Answer.expectation_of_winning",1,0,0.659598845250846,13.1919769050169,20,0.175008955697188,0.731591556806585,0.586441454387396,"low","control","- evidence, control"
"11","Answer.expectation_of_winning",1,1,0.637146421900127,13.3800748599027,21,0.159201859902794,0.70317486296069,0.570374481783524,"low","partner","- evidence, partner"
"12","Answer.expectation_of_winning",1,2,0.505376480486831,17.6881768170391,35,0.223150538236979,0.574202418116059,0.433872025661193,"low","opponent","- eviedence, opponent"
"13","Answer.strength_of_average_player",0,0,0.536157919311485,6.97005295104931,13,0.166890407075977,0.613770462779574,0.451240849999588,"high","control","+ evidence, control"
"14","Answer.strength_of_average_player",0,1,0.617996819885311,10.5059459380503,17,0.166177287817323,0.688370568767263,0.539443503361165,"high","partner","+ evidence, partner"
"15","Answer.strength_of_average_player",0,2,0.573741760685193,7.45864288890751,13,0.229622410623943,0.697196509844877,0.450634509200758,"high","opponent","+ eviedence, opponent"
"16","Answer.strength_of_average_player",1,0,0.56553027050569,11.3106054101138,20,0.127942746703623,0.615425014956207,0.506697142702367,"low","control","- evidence, control"
"17","Answer.strength_of_average_player",1,1,0.573704933170251,12.0478035965753,21,0.144864695581099,0.633449138503313,0.514275691201815,"low","partner","- evidence, partner"
"18","Answer.strength_of_average_player",1,2,0.584849653065356,20.4697378572874,35,0.190871656513611,0.645963538297329,0.52033141766651,"low","opponent","- eviedence, opponent"
"19","Answer.role_of_luck_in_game",0,0,0.287987258602891,3.74383436183758,13,0.163382479863752,0.370664425703416,0.206808602375184,"high","control","+ evidence, control"
"20","Answer.role_of_luck_in_game",0,1,0.310019365391401,5.27032921165381,17,0.184786834071277,0.398706471302534,0.22868951869466,"high","partner","+ evidence, partner"
"21","Answer.role_of_luck_in_game",0,2,0.286844409857947,3.72897732815331,13,0.253561842679282,0.429308083804081,0.157622614034219,"high","opponent","+ eviedence, opponent"
"22","Answer.role_of_luck_in_game",1,0,0.289378779407612,5.78757558815224,20,0.218474167691685,0.38198604381812,0.1992220527845,"low","control","- evidence, control"
"23","Answer.role_of_luck_in_game",1,1,0.419581148866478,8.81120412619604,21,0.250329865824476,0.528380795418718,0.306261622015877,"low","partner","- evidence, partner"
"24","Answer.role_of_luck_in_game",1,2,0.360143113673087,12.6050089785581,35,0.204324588016284,0.425585344943007,0.298560099066325,"low","opponent","- eviedence, opponent"
